StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q79,Q8_Browser,Q8_Version,Q8_Operating System,Q8_Resolution,Q9,Q10,Q11,Q12,Q14,Q15,Q15_6_TEXT,Q16,Q16_4_TEXT,Q17,Q17_8_TEXT,SBSOD_1_1,SBSOD_2_1,SBSOD_3_1,SBSOD_4_1,SBSOD_5_1,SBSOD_6_1,SBSOD_7_1,SBSOD_8_1,SBSOD_9_1,SBSOD_10_1,SBSOD_11_1,SBSOD_12_1,SBSOD_13_1,SBSOD_14_1,SBSOD_15_1,VVIQ_1_Open_1,VVIQ_2_Open_1,VVIQ_3_Open_1,VVIQ_4_Open_1,VVIQ_5_Open_1,VVIQ_6_Open_1,VVIQ_7_Open_1,VVIQ_8_Open_1,VVIQ_9_Open_1,VVIQ_10_Open_1,VVIQ_11_Open_1,VVIQ_12_Open_1,VVIQ_13_Open_1,VVIQ_14_Open_1,VVIQ_15_Open_1,VVIQ_16_Open_1,VVIQ_1_Closed_1,VVIQ_2_Closed_1,VVIQ_3_Closed_1,VVIQ_4_Closed_1,VVIQ_5_Closed_1,VVIQ_6_Closed_1,VVIQ_7_Closed_1,VVIQ_8_Closed_1,VVIQ_9_Closed_1,VVIQ_10_Closed_1,VVIQ_11_Closed_1,VVIQ_12_Closed_1,VVIQ_13_Closed_1,VVIQ_14_Closed_1,VVIQ_15_Closed_1,VVIQ_16_Closed_1,Q95,id,Complete Data,Ling_or_Analog,Attention Check
2/6/22 15:27,2/6/22 16:02,IP Address,35.142.235.126,97,2099,FALSE,2/13/22 16:02,R_2XhedMSJK46L7pS,,,,,,,anonymous,EN,I agree to participate.,Safari,15.2,Macintosh,834x1112,18,11,not english,right,male,man,,heterosexual,,asian,,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivd,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,"No image at all, you only ""know"" that you are thinking of an object",Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,,46526,0,N/A,N/A
2/6/22 16:17,2/6/22 16:23,IP Address,35.142.235.126,99,365,FALSE,2/13/22 16:24,R_3MzAMrdvYPKgLsL,,,,,,,anonymous,EN,I agree to participate.,Edge,97.0.1072.76,Windows NT 10.0,1536x864,18,11,not english,right,male,man,,heterosexual,,asian,,Somewhat disagree,Agree,Neutral,Somewhat disagree,Agree,Agree,Disagree,Neutral,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Agree,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,"No image at all, you only ""know"" that you are thinking of an object",Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,,46526,0,N/A,N/A
2/7/22 19:56,2/7/22 20:56,IP Address,128.227.39.80,97,3617,FALSE,2/14/22 20:56,R_AF2V03qrIq1nRx7,,,,,,,anonymous,EN,I agree to participate.,Chrome,98.0.4758.80,Macintosh,1440x900,18,12,english,right,female,woman,,heterosexual,,white,,Somewhat agree,Neutral,Agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,,46551,0,N/A,N/A
2/8/22 9:44,2/8/22 9:58,IP Address,128.227.1.57,99,810,FALSE,2/15/22 9:58,R_RzwKDOoBdAmXlq9,,,,,,,anonymous,EN,I agree to participate.,Chrome,93.0.4577.82,Macintosh,1440x900,18,12,english,right,male,man,,heterosexual,,white,,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Neutral,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,46545,0,N/A,N/A
2/8/22 19:41,2/8/22 19:48,IP Address,174.64.129.64,97,450,FALSE,2/15/22 19:48,R_3EjcIY7cvOOYMwZ,,,,,,,anonymous,EN,I agree to participate.,Chrome,98.0.4758.81,Windows NT 10.0,1280x720,19,14,english,right,female,woman,,heterosexual,,white,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,46716,0,N/A,N/A
2/7/22 13:08,2/10/22 9:29,IP Address,128.227.1.2,97,246030,FALSE,2/17/22 9:29,R_3NPVqXURsHAfRUo,,,,,,,anonymous,EN,I agree to participate.,Chrome,96.0.4664.110,Macintosh,1440x900,20,13,english,right,female,woman,,heterosexual,,white,,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Agree,Neutral,Disagree,Somewhat agree,Disagree,Somewhat disagree,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,,46559,0,N/A,N/A
2/10/22 16:49,2/10/22 17:17,IP Address,128.227.1.58,97,1715,FALSE,2/17/22 17:18,R_1LG3YmaO7WtcgEh,,,,,,,anonymous,EN,I agree to participate.,Safari,14.1,Macintosh,1440x900,18,12,english,right,female,woman,,heterosexual,,hisp,,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,,46497,0,N/A,N/A
3/1/22 8:44,3/1/22 8:55,IP Address,128.227.1.57,100,705,TRUE,3/1/22 8:55,R_2WuPFCUM9tLguHs,,,,,29.61380005,-82.38600159,anonymous,EN,I agree to participate.,Safari,14.1,Macintosh,1440x900,19,12,english,right,male,man,,heterosexual,,white,,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Vague and dim,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,46488,0,N/A,N/A
3/1/22 12:18,3/1/22 12:58,IP Address,184.185.222.15,100,2399,TRUE,3/1/22 12:58,R_2WPw3pHOXd5idfm,,,,,29.61380005,-82.38600159,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1536x864,20,14,english,right,male,man,,heterosexual,,black/afri-amer,,Somewhat agree,Agree,Strongly disagree,Agree,Somewhat disagree,Neutral,Neutral,Agree,Somewhat agree,Disagree,Strongly agree,Disagree,Agree,Somewhat agree,Disagree,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,46711,1,Analog,6
3/1/22 13:41,3/1/22 13:58,IP Address,128.227.32.133,100,1020,TRUE,3/1/22 13:58,R_2bWsvio1LOt7Jrn,,,,,28.07240295,-82.56030273,anonymous,EN,I agree to participate.,Chrome,98.0.4758.109,Macintosh,1920x1200,18,12,english,right,male,man,,heterosexual,,asian,,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,46617,1,Analog,8
3/1/22 17:41,3/1/22 18:13,IP Address,128.227.4.125,100,1940,TRUE,3/1/22 18:13,R_OfZUFkXO2XGMboR,,,,,29.68400574,-82.35710144,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1366x768,119,12,english,right,male,man,,heterosexual,,white,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,46546,0,N/A,N/A
3/2/22 16:34,3/2/22 17:10,IP Address,173.169.150.72,100,2149,TRUE,3/2/22 17:10,R_3MhUY8IlHbD6ehk,,,,,28.19509888,-81.60620117,anonymous,EN,I agree to participate.,Chrome,96.0.4664.55,Macintosh,1440x900,21,12,english,right,female,woman,,heterosexual,,hisp,,Strongly agree,Disagree,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,ufbold5000,46533,1,Analog,9
3/2/22 20:03,3/2/22 20:31,IP Address,128.227.1.59,100,1688,TRUE,3/2/22 20:31,R_3gUbatyPis8LVOP,,,,,29.61380005,-82.38600159,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1368x912,19,14,english,right,female,woman,,heterosexual,,white,,Somewhat disagree,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Disagree,Agree,Disagree,Disagree,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,46612,1,Analog,6
3/2/22 20:41,3/2/22 20:59,IP Address,128.227.20.17,100,1059,TRUE,3/2/22 20:59,R_3Hk57oV3GNZjb83,,,,,29.61380005,-82.38600159,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1536x864,19,12,english,right,female,woman,,heterosexual,,white,,Agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Neutral,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",Vague and dim,Vague and dim,Vague and dim,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",ufbold5000,46781,1,Analog,6
3/2/22 21:01,3/2/22 21:15,IP Address,128.227.20.17,100,810,TRUE,3/2/22 21:15,R_308GQWOsr7ZKe09,,,,,29.65029907,-82.34860229,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1536x864,19,12,english,right,female,woman,,heterosexual,,white,,Strongly agree,Disagree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Neutral,Neutral,Somewhat disagree,Neutral,Disagree,Somewhat agree,Somewhat disagree,Disagree,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object",ufbold5000,46781,0,N/A,N/A
3/3/22 17:21,3/3/22 17:51,IP Address,68.227.78.195,100,1811,TRUE,3/3/22 17:51,R_3GDP1ACaOdXg3x4,,,,,29.646698,-82.32839966,anonymous,EN,I agree to participate.,Chrome,95.0.4638.69,Macintosh,1440x900,20,13,english,right,female,woman,,heterosexual,,white,,Somewhat disagree,Disagree,Neutral,Somewhat disagree,Strongly disagree,Agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,Disagree,Agree,Disagree,Neutral,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,46542,1,Analog,9
3/1/22 15:56,3/1/22 16:08,IP Address,142.197.222.221,99,697,FALSE,3/8/22 16:08,R_2eRxUWL2Bdlw7hK,,,,,,,anonymous,EN,I agree to participate.,Firefox,96,Macintosh,1440x900,19,13,not english,not right,female,woman,,heterosexual,,asian,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Moderate clear and vivid,Moderate clear and vivid,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivd,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,,46564,1,Analog,8
3/2/22 8:45,3/2/22 9:04,IP Address,184.185.222.15,99,1197,FALSE,3/9/22 9:05,R_2cAu2jUUNAaLKSo,,,,,,,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1280x720,18,12,english,right,male,man,,heterosexual,,white,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,,46631,0,N/A,N/A
3/2/22 11:13,3/2/22 11:13,IP Address,128.227.1.58,4,34,FALSE,3/9/22 11:13,R_5h8T39ndpSL7VV7,,,,,,,anonymous,EN,I agree to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46559,0,N/A,N/A
3/2/22 21:18,3/2/22 21:18,IP Address,128.227.20.17,4,7,FALSE,3/9/22 21:19,R_1FLGT6jaSfGUuWP,,,,,,,anonymous,EN,I agree to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46781,0,N/A,N/A
3/3/22 10:47,3/3/22 10:51,IP Address,128.227.164.173,99,232,FALSE,3/10/22 10:51,R_2w1c5CvXGaCaY5f,,,,,,,anonymous,EN,I agree to participate.,Chrome,98.0.4758.102,Windows NT 10.0,1920x1080,19,13,english,right,male,man,,heterosexual,,black/afri-amer,,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Disagree,Neutral,Neutral,Neutral,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,,46550,0,N/A,N/A
